# Residuals   
# Time        	p             	Ux            	Uy            
4.21          	3.168685e-01	7.363566e-03	2.451046e-02
4.22          	3.027472e-01	7.497325e-03	2.426671e-02
4.23          	3.232805e-01	7.677644e-03	2.397714e-02
4.24          	3.087288e-01	7.905286e-03	2.362108e-02
4.25          	2.916967e-01	8.150485e-03	2.336625e-02
4.26          	2.799459e-01	8.415283e-03	2.320752e-02
4.27          	2.813265e-01	8.589559e-03	2.297811e-02
4.28          	2.872480e-01	8.753945e-03	2.276931e-02
4.29          	2.913571e-01	8.857245e-03	2.258944e-02
4.3           	2.895456e-01	8.954280e-03	2.233100e-02
4.31          	2.923674e-01	9.039307e-03	2.197866e-02
4.32          	2.687835e-01	9.103689e-03	2.165253e-02
4.33          	2.552497e-01	9.099420e-03	2.126275e-02
4.34          	2.275097e-01	9.095781e-03	2.084775e-02
4.35          	2.210900e-01	9.071880e-03	2.047166e-02
4.36          	2.025974e-01	9.077138e-03	2.017487e-02
4.37          	2.024545e-01	9.072446e-03	1.994522e-02
4.38          	1.954181e-01	9.074394e-03	1.973297e-02
4.39          	1.901550e-01	9.065630e-03	1.957599e-02
4.4           	1.828873e-01	9.052844e-03	1.949162e-02
4.41          	1.737182e-01	9.023776e-03	1.939524e-02
4.42          	1.700056e-01	8.957299e-03	1.932534e-02
4.43          	1.765974e-01	8.807235e-03	1.924359e-02
4.44          	1.854903e-01	8.613319e-03	1.912843e-02
4.45          	1.833409e-01	8.442845e-03	1.909987e-02
4.46          	1.758506e-01	8.264569e-03	1.908277e-02
4.47          	1.769499e-01	8.115578e-03	1.912656e-02
4.48          	1.733298e-01	7.992626e-03	1.922646e-02
4.49          	1.740858e-01	7.887144e-03	1.944695e-02
4.5           	1.876530e-01	7.792497e-03	1.974662e-02
4.51          	2.164835e-01	7.708319e-03	2.005392e-02
4.52          	2.489839e-01	7.648870e-03	2.047143e-02
4.53          	2.689124e-01	7.601511e-03	2.092481e-02
4.54          	2.665850e-01	7.564516e-03	2.136299e-02
4.55          	2.837545e-01	7.576458e-03	2.178504e-02
4.56          	2.845517e-01	7.568399e-03	2.223907e-02
4.57          	2.804851e-01	7.603142e-03	2.263393e-02
4.58          	2.867262e-01	7.614262e-03	2.305589e-02
4.59          	2.868244e-01	7.642262e-03	2.342649e-02
4.6           	2.937407e-01	7.642715e-03	2.373976e-02
4.61          	3.074049e-01	7.638022e-03	2.391457e-02
4.62          	3.156757e-01	7.625956e-03	2.396133e-02
4.63          	3.193732e-01	7.615451e-03	2.387629e-02
4.64          	3.111877e-01	7.639176e-03	2.371535e-02
4.65          	3.122275e-01	7.742696e-03	2.353191e-02
4.66          	3.067219e-01	7.896694e-03	2.328652e-02
4.67          	3.007025e-01	8.137836e-03	2.301667e-02
4.68          	2.902811e-01	8.398925e-03	2.277512e-02
4.69          	2.795988e-01	8.704529e-03	2.257971e-02
4.7           	2.647229e-01	9.004522e-03	2.239666e-02
4.71          	2.728810e-01	9.255079e-03	2.224387e-02
4.72          	2.921090e-01	9.423434e-03	2.204099e-02
4.73          	2.845868e-01	9.517898e-03	2.182958e-02
4.74          	2.755621e-01	9.573672e-03	2.158381e-02
