# Residuals   
# Time        	p             	Ux            	Uy            
2.96          	3.775206e-01	6.334431e-03	3.383284e-02
2.97          	3.692588e-01	6.341856e-03	3.339763e-02
2.98          	3.560421e-01	6.361256e-03	3.304936e-02
2.99          	3.431913e-01	6.353643e-03	3.255948e-02
3.00          	3.333609e-01	6.331993e-03	3.204750e-02
3.01          	3.051640e-01	6.276293e-03	3.143656e-02
3.02          	2.991083e-01	6.196507e-03	3.070958e-02
3.03          	2.914456e-01	6.131221e-03	3.009828e-02
3.04          	2.671524e-01	6.064370e-03	2.958507e-02
3.05          	2.633177e-01	5.991015e-03	2.903311e-02
3.06          	2.758698e-01	5.926458e-03	2.860952e-02
3.07          	2.964905e-01	5.873393e-03	2.834707e-02
3.08          	3.138387e-01	5.878430e-03	2.821748e-02
3.09          	3.069248e-01	5.894774e-03	2.810245e-02
3.10          	2.980040e-01	5.938657e-03	2.823391e-02
3.11          	2.961571e-01	5.978777e-03	2.846268e-02
3.12          	3.092300e-01	6.011643e-03	2.861820e-02
3.13          	3.181527e-01	6.030678e-03	2.892390e-02
3.14          	3.313918e-01	6.013826e-03	2.919140e-02
3.15          	3.291620e-01	5.960281e-03	2.968488e-02
3.16          	3.382378e-01	5.907280e-03	3.006415e-02
3.17          	3.311444e-01	5.811729e-03	3.039027e-02
3.18          	3.463837e-01	5.690671e-03	3.074814e-02
3.19          	3.570897e-01	5.545454e-03	3.094562e-02
3.20          	3.486511e-01	5.414257e-03	3.124704e-02
3.21          	3.594668e-01	5.346443e-03	3.168419e-02
3.22          	3.641357e-01	5.330668e-03	3.220537e-02
3.23          	3.753751e-01	5.338106e-03	3.281930e-02
3.24          	3.837539e-01	5.379031e-03	3.366087e-02
3.25          	3.833822e-01	5.375396e-03	3.427987e-02
3.26          	3.700760e-01	5.379724e-03	3.505725e-02
3.27          	3.844814e-01	5.389849e-03	3.569090e-02
3.28          	4.117955e-01	5.473595e-03	3.646625e-02
3.29          	4.252678e-01	5.581491e-03	3.688334e-02
3.30          	4.219193e-01	5.735558e-03	3.726191e-02
3.31          	4.088916e-01	5.865379e-03	3.734460e-02
3.32          	4.020150e-01	5.965079e-03	3.732312e-02
3.33          	3.985813e-01	6.028387e-03	3.706860e-02
3.34          	3.979961e-01	6.038945e-03	3.665971e-02
3.35          	3.918360e-01	6.049888e-03	3.608643e-02
3.36          	3.849015e-01	6.044195e-03	3.529846e-02
3.37          	4.020731e-01	6.057145e-03	3.443494e-02
3.38          	3.844675e-01	6.086831e-03	3.380610e-02
3.39          	3.944310e-01	6.108913e-03	3.295553e-02
3.40          	3.957878e-01	6.176303e-03	3.229036e-02
3.41          	3.965375e-01	6.232956e-03	3.169378e-02
3.42          	4.059320e-01	6.312077e-03	3.130921e-02
3.43          	3.987766e-01	6.382821e-03	3.085174e-02
3.44          	3.926096e-01	6.427128e-03	3.050795e-02
3.45          	3.653643e-01	6.457002e-03	3.036587e-02
3.46          	3.350340e-01	6.452290e-03	3.005892e-02
3.47          	3.207645e-01	6.431449e-03	2.964750e-02
3.48          	3.072193e-01	6.371039e-03	2.927030e-02
3.49          	2.721789e-01	6.267445e-03	2.861499e-02
3.50          	2.562899e-01	6.145834e-03	2.791976e-02
3.51          	2.436745e-01	5.991622e-03	2.723275e-02
3.52          	2.368702e-01	5.856323e-03	2.662747e-02
3.53          	2.293743e-01	5.724215e-03	2.617483e-02
3.54          	2.449307e-01	5.624187e-03	2.586886e-02
3.55          	2.773389e-01	5.564970e-03	2.564647e-02
3.56          	3.051504e-01	5.564642e-03	2.547639e-02
3.57          	2.812810e-01	5.571076e-03	2.547701e-02
3.58          	2.767140e-01	5.591590e-03	2.577138e-02
3.59          	2.740771e-01	5.624627e-03	2.605483e-02
3.60          	2.931481e-01	5.656119e-03	2.627001e-02
3.61          	2.831076e-01	5.677272e-03	2.679566e-02
3.62          	2.964538e-01	5.643028e-03	2.729462e-02
3.63          	3.128063e-01	5.576521e-03	2.781723e-02
